Ralf Thiele,Ralf Thiele (Mainz),1600/1600 Singles/Doubles Points AMATEUR
Ralf Thomet,Ralf Thomet (Diemtigen),1600/1600 Singles/Doubles Points AMATEUR
RALPH ECKHARDT,Ralf Thomet (Diemtigen),1600/1600 Singles/Doubles Points AMATEUR
RALPH GARCIA,RALPH ECKHARDT (ID),1800/1800 Singles/Doubles Points AMATEUR
RALPH MCGEE,RALPH MCGEE (NC),1800/1800 Singles/Doubles Points AMATEUR
RALPH PORRAS,RALPH PORRAS (TX),1182/1182 Singles/Doubles Points ROOKIE
RALPH RABALAIS,RALPH RABALAIS (LA),1800/1800 Singles/Doubles Points AMATEUR
RALPH RODRIGUES,RALPH D RODRIGUES (MI),1676/2014 Singles/Doubles Points EXPERT
RALPH SUTTON,RALPH SUTTON (TX),1800/1800 Singles/Doubles Points AMATEUR
RAMADEL FALCAO,RAMADEL FALCAO (),400/400 Singles/Doubles Points JUNIOR AMATEUR
Rami Hazwani,Rami Hazwani (M̦nchengladbach),2600/2600 Singles/Doubles Points EXPERT
RAMIRO RODRIGUEZ,RAMIRO RODRIGUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RAMIRO VAZQUEZ DE LEON,"RAMIRO VAZQUEZ DE LEON (Tanaulipas,MX)",1800/1800 Singles/Doubles Points AMATEUR
RAMON CRAM,RAMON CRAM (WI),1800/1800 Singles/Doubles Points AMATEUR
RAMON SAGER,RAMON SAGER (NY),1800/1800 Singles/Doubles Points AMATEUR
RAMONA HERRING,RAMONA HERRING (MS),1800/1800 Singles/Doubles Points AMATEUR
RAMSEY HENRY,RAMONA HERRING (MS),1800/1800 Singles/Doubles Points AMATEUR
RAMSEY STEWART,RAMSEY HENRY (OK),1800/1800 Singles/Doubles Points AMATEUR
RANDAL BLAKE,RANDAL BLAKE (GA),1800/1800 Singles/Doubles Points AMATEUR
RANDAL HANSON,RANDAL HANSON (CO),1800/1800 Singles/Doubles Points AMATEUR
RANDAL YOUNGBLOOD,RANDAL YOUNGBLOOD (MO),1800/1800 Singles/Doubles Points AMATEUR
Randall Best,Randall Best (MT),1600/1600 Singles/Doubles Points AMATEUR
RANDALL GUTHRIE,RANDALL GUTHRIE (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDALL PAUL,RANDALL PAUL (CA),1800/1800 Singles/Doubles Points AMATEUR
RANDALL SHEAR,RANDALL SHEAR (IA),1800/1800 Singles/Doubles Points AMATEUR
